"'"
"Newfoundland and Labrador"
"Distribution of polling divisions by federal electoral district (FED), from the 2003 to the 2013 Representation Order"

"Old FED - 2003","New FED - 2013","Polling divisions taken from old FED - Type","Polling divisions taken from old FED - From no.","Polling divisions taken from FED - To no.","Polling divisions transferred - Total polls","Polling divisions taken from FED - %","Population taken from old FED"
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","A.P.",614.0,614.0,1,0.5,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","A.P.",608.0,608.0,1,33.3,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","A.P.",610.0,615.0,3,100,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","O.P.",117.0,117.0,1,5.9,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","O.P.",94.0,156.0,25,100,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","SVR1",.,.,.,10.9,7259
"Random - Burin - St. George's","Coast of Bays--Central--Notre Dame","SVR2",.,.,.,10.9,7259
"Random - Burin - St. George's","Long Range Mountains","A.P.",608.0,608.0,1,66.7,29907
"Random - Burin - St. George's","Long Range Mountains","A.P.",600.0,609.0,9,100,29907
"Random - Burin - St. George's","Long Range Mountains","M.P.",500.0,500.0,1,100,29907
"Random - Burin - St. George's","Long Range Mountains","O.P.",1.0,93.0,86,100,29907
"Random - Burin - St. George's","Long Range Mountains","SVR1",.,.,.,44.1,29907
"Random - Burin - St. George's","Long Range Mountains","SVR2",.,.,.,44.1,29907
"St. John's East","Avalon","A.P.",612.0,612.0,1,42.9,21992
"St. John's East","Avalon","A.P.",603.0,603.0,1,76.5,21992
"St. John's East","Avalon","A.P.",610.0,610.0,1,100,21992
"St. John's East","Avalon","M.P.",501.0,501.0,1,100,21992
"St. John's East","Avalon","O.P.",41.1,41.1,1,71.2,21992
"St. John's East","Avalon","O.P.",39.0,155.0,36,100,21992
"St. John's East","Avalon","SVR1",.,.,.,21.2,21992
"St. John's East","Avalon","SVR2",.,.,.,21.2,21992
"St. John's East","St. John's East","A.P.",603.0,603.0,1,23.5,78567
"St. John's East","St. John's East","A.P.",612.0,612.0,1,57.1,78567
"St. John's East","St. John's East","A.P.",600.0,613.0,11,100,78567
"St. John's East","St. John's East","M.P.",500.0,504.0,4,100,78567
"St. John's East","St. John's East","O.P.",41.1,41.1,1,28.8,78567
"St. John's East","St. John's East","O.P.",1.0,138.0,155,100,78567
"St. John's East","St. John's East","SVR1",.,.,.,78.8,78567
"St. John's East","St. John's East","SVR2",.,.,.,78.8,78567
"St. John's South - Mount Pearl","St. John's East","A.P.",600.0,600.0,1,39.4,3369
"St. John's South - Mount Pearl","St. John's East","M.P.",501.0,501.0,1,33.3,3369
"St. John's South - Mount Pearl","St. John's East","O.P.",7.0,7.0,1,95.5,3369
"St. John's South - Mount Pearl","St. John's East","O.P.",5.0,5.0,1,96.2,3369
"St. John's South - Mount Pearl","St. John's East","O.P.",10.0,10.0,1,97.2,3369
"St. John's South - Mount Pearl","St. John's East","O.P.",1.0,1.0,1,99.6,3369
"St. John's South - Mount Pearl","St. John's East","O.P.",2.0,9.1,4,100,3369
"St. John's South - Mount Pearl","St. John's East","SVR1",.,.,.,4.5,3369
"St. John's South - Mount Pearl","St. John's East","SVR2",.,.,.,4.5,3369
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","A.P.",600.0,600.0,1,60.6,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","A.P.",601.0,612.0,12,100,79482
"St. John's South - Mount Pearl","St. John's South--Mount Pearl","M.P.",501.0,501.0,1,66.7,79482
